사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-08,1호선,1,서울역,792988,756399,145014,136947
2021-08,1호선,10,동묘앞,102153,108130,126958,126884
2021-08,1호선,2,시청,393938,389734,55055,53210
2021-08,1호선,3,종각,616525,597169,101246,94171
2021-08,1호선,4,종로3가,354719,325937,239745,226538
2021-08,1호선,5,종로5가,294470,297772,212219,203116
2021-08,1호선,6,동대문,177982,165020,96696,95636
2021-08,1호선,7,신설동,224937,224563,94340,91559
2021-08,1호선,8,제기동,197069,191778,213619,230294
2021-08,1호선,9,청량리(서울시립대입구),270033,269291,221084,225743
2021-08,2호선,11,시청,432363,416176,38988,35390
2021-08,2호선,12,을지로입구,746057,756840,72063,66949
2021-08,2호선,13,을지로3가,400396,397079,57112,55713
2021-08,2호선,14,을지로4가,210497,208301,70504,69591
2021-08,2호선,15,동대문역사문화공원(DDP),224482,251538,42418,44392
2021-08,2호선,16,신당,245397,257978,79821,81728
2021-08,2호선,17,상왕십리,271693,263782,55042,55731
2021-08,2호선,18,왕십리(성동구청),317602,260183,40313,34106
2021-08,2호선,19,한양대,130467,133476,9609,9422
2021-08,2호선,20,뚝섬,435056,470209,45206,46020
2021-08,2호선,21,성수,707227,779811,82662,84085
2021-08,2호선,22,건대입구,726571,779064,68156,71470
2021-08,2호선,23,구의(광진구청),462644,457944,80830,82923
2021-08,2호선,24,강변(동서울터미널),633618,620226,86393,84546
2021-08,2호선,25,잠실나루,255382,249343,62537,62903
2021-08,2호선,26,잠실(송파구청),1401484,1382916,137872,131411
2021-08,2호선,27,잠실새내,399051,401618,78837,78889
2021-08,2호선,28,종합운동장,124233,133983,29649,30872
2021-08,2호선,29,삼성(무역센터),993775,1002202,82505,75051
2021-08,2호선,30,선릉,1011985,898344,169243,150209
2021-08,2호선,31,역삼,935409,1035992,118132,118905
2021-08,2호선,32,강남,1740176,1700077,134535,119073
2021-08,2호선,33,교대(법원.검찰청),623938,703572,110561,123252
2021-08,2호선,34,서초,413224,391825,54704,53931
2021-08,2호선,35,방배,301101,323088,53735,53461
2021-08,2호선,36,사당,680207,752106,130768,125386
2021-08,2호선,37,낙성대(강감찬),566381,549441,82059,84461
2021-08,2호선,38,서울대입구(관악구청),973159,964103,148153,141234
2021-08,2호선,39,봉천,450915,416674,113664,114157
2021-08,2호선,40,신림,1327193,1288306,176411,179633
2021-08,2호선,41,신대방,530474,513872,99237,100430
2021-08,2호선,42,구로디지털단지,1200446,1206206,130858,133287
2021-08,2호선,43,대림(구로구청),483222,495722,91611,95294
2021-08,2호선,44,신도림,961401,942214,149081,139794
2021-08,2호선,45,문래,404772,418721,60026,59323
2021-08,2호선,46,영등포구청,426877,431159,79020,77307
2021-08,2호선,47,당산,372405,427563,43882,48518
2021-08,2호선,48,합정,672971,697867,52216,51667
2021-08,2호선,49,홍대입구,1172536,1201862,75396,71591
2021-08,2호선,50,신촌,668487,687683,95922,93040
2021-08,2호선,51,이대,251414,266696,36166,37650
2021-08,2호선,52,아현,189846,182321,51424,50714
2021-08,2호선,53,충정로(경기대입구),177046,186320,38195,38365
2021-08,2호선,54,용답,49096,48655,14749,14576
2021-08,2호선,55,신답,28745,34502,7681,8177
2021-08,2호선,56,신설동,54312,51465,25892,27445
2021-08,2호선,57,도림천,25092,25603,6086,6160
2021-08,2호선,58,양천구청,116676,126472,34818,35190
2021-08,2호선,59,신정네거리,182529,191433,56132,57217
2021-08,2호선,60,용두(동대문구청),37463,37705,18644,19459
2021-08,3호선,61,지축,83559,82311,18513,17911
2021-08,3호선,62,구파발,394180,381117,91250,87627
2021-08,3호선,63,연신내,680167,641375,209688,204780
2021-08,3호선,64,불광,278516,299938,109213,119157
2021-08,3호선,65,녹번,292871,262579,58879,58504
2021-08,3호선,66,홍제,292611,275841,107482,105649
2021-08,3호선,67,무악재,68024,67423,22653,25086
2021-08,3호선,68,독립문,111902,115477,53170,51833
